input_type,n,fit_time,eval_time,accuracy,test_set
images,1,0.0016320453584194184,5.953550338745117e-06,0.67,set_0
images,1,0.0015790458917617797,5.562305450439453e-06,0.655,set_1
images,1,0.001579214930534363,4.566669464111328e-06,0.6835,set_2
images,1,0.001567018210887909,4.3374300003051755e-06,0.649,set_3
images,1,0.0015523284375667573,5.052328109741211e-06,0.6225,set_4
features,1,7.298663258552552e-05,1.3257265090942383e-06,0.67,set_0
features,1,6.995242834091186e-05,1.2333393096923828e-06,0.651,set_1
features,1,7.988271117210388e-05,1.2809038162231444e-06,0.6935,set_2
features,1,7.025057077407836e-05,1.157522201538086e-06,0.66,set_3
features,1,6.979942321777344e-05,9.416341781616211e-07,0.646,set_4
images,2,0.0031437094807624816,8.546352386474609e-06,0.6645,set_0
images,2,0.0032068217098712923,8.345842361450196e-06,0.629,set_1
images,2,0.003556223154067993,1.4000296592712402e-05,0.674,set_2
images,2,0.003961689621210098,1.4034032821655273e-05,0.638,set_3
images,2,0.0037763262391090394,1.1507868766784668e-05,0.6175,set_4
features,2,0.00018238234519958496,2.2765398025512697e-06,0.639,set_0
features,2,0.00019179505109786986,2.499222755432129e-06,0.6625,set_1
features,2,0.0002062569260597229,1.8813610076904297e-06,0.6985,set_2
features,2,0.0001768880784511566,1.81734561920166e-06,0.6605,set_3
features,2,0.00018150231242179872,2.5838613510131837e-06,0.64,set_4
images,3,0.005062180936336517,1.3542771339416504e-05,0.6485,set_0
images,3,0.004862171530723572,1.3186216354370118e-05,0.6495,set_1
images,3,0.00488096684217453,1.576578617095947e-05,0.684,set_2
images,3,0.005067756652832031,1.566946506500244e-05,0.6255,set_3
images,3,0.004969649851322174,1.6656398773193358e-05,0.6235,set_4
features,3,0.00024054917693138123,2.703547477722168e-06,0.6495,set_0
features,3,0.00026699775457382204,1.8647909164428712e-06,0.6535,set_1
features,3,0.00027759575843811033,1.990795135498047e-06,0.692,set_2
features,3,0.00023577791452407838,1.7806291580200195e-06,0.6655,set_3
features,3,0.00023589280247688293,1.7082691192626953e-06,0.63,set_4
images,4,0.006703906029462814,2.295506000518799e-05,0.651,set_0
images,4,0.0067247885763645175,2.0872235298156738e-05,0.658,set_1
images,4,0.006813073843717575,2.062678337097168e-05,0.68,set_2
images,4,0.006711150974035263,2.1406888961791994e-05,0.6535,set_3
images,4,0.006582779854536057,1.85011625289917e-05,0.6255,set_4
features,4,0.0002998183071613312,2.3485422134399415e-06,0.6575,set_0
features,4,0.00030800628662109377,2.6445388793945314e-06,0.663,set_1
features,4,0.00032232964038848876,1.9239187240600585e-06,0.694,set_2
features,4,0.000299253910779953,2.0508766174316407e-06,0.666,set_3
features,4,0.00031389033794403077,2.0990371704101563e-06,0.6275,set_4
images,5,0.008176294624805451,2.405691146850586e-05,0.6485,set_0
images,5,0.008101426750421524,3.0912280082702634e-05,0.646,set_1
images,5,0.008317286998033524,2.4316787719726564e-05,0.659,set_2
images,5,0.008384084194898606,2.372884750366211e-05,0.6575,set_3
images,5,0.00812514990568161,2.3295164108276366e-05,0.633,set_4
features,5,0.00041346898674964906,2.5544166564941407e-06,0.6545,set_0
features,5,0.00042685368657112123,3.2706260681152344e-06,0.656,set_1
features,5,0.00042220187187194826,2.3448467254638674e-06,0.6745,set_2
features,5,0.00040156435966491697,3.0274391174316407e-06,0.653,set_3
features,5,0.00040454289317131043,2.4693012237548826e-06,0.6265,set_4
images,10,0.016352503806352614,4.8209547996520996e-05,0.659,set_0
images,10,0.016389859020709992,5.636155605316162e-05,0.6785,set_1
images,10,0.016429830074310304,5.472683906555176e-05,0.673,set_2
images,10,0.016326467394828795,4.9582839012145994e-05,0.6585,set_3
images,10,0.01575263026356697,4.3796420097351077e-05,0.6565,set_4
features,10,0.0007269046306610107,4.080057144165039e-06,0.654,set_0
features,10,0.0007522249221801758,4.0047168731689455e-06,0.6475,set_1
features,10,0.0007692447304725647,3.967046737670898e-06,0.6635,set_2
features,10,0.0007313874661922455,3.9126873016357425e-06,0.6505,set_3
features,10,0.0007393529713153839,5.677103996276855e-06,0.6405,set_4
images,15,0.023428202301263808,5.8441400527954104e-05,0.6835,set_0
images,15,0.023261684507131578,6.141090393066407e-05,0.6965,set_1
images,15,0.025274167388677597,6.736040115356445e-05,0.6935,set_2
images,15,0.025190328121185303,5.810809135437012e-05,0.6755,set_3
images,15,0.022556759595870973,5.8533072471618655e-05,0.6535,set_4
features,15,0.0010129828453063964,5.532383918762207e-06,0.6355,set_0
features,15,0.0010404571890830993,5.220532417297363e-06,0.641,set_1
features,15,0.0010569187402725219,5.094051361083984e-06,0.6635,set_2
features,15,0.0010239975154399871,5.649805068969726e-06,0.65,set_3
features,15,0.0010435137450695037,5.554795265197754e-06,0.6565,set_4
images,20,0.030533701092004775,7.774388790130615e-05,0.6915,set_0
images,20,0.030496384888887406,7.699131965637207e-05,0.71,set_1
images,20,0.030603587955236437,7.736408710479736e-05,0.713,set_2
images,20,0.030570442348718644,7.749509811401367e-05,0.69,set_3
images,20,0.02994082799553871,7.746076583862305e-05,0.6635,set_4
features,20,0.0013165798485279083,6.996512413024903e-06,0.6555,set_0
features,20,0.0013198926746845246,6.760835647583008e-06,0.6605,set_1
features,20,0.0013763549923896789,6.632924079895019e-06,0.6495,set_2
features,20,0.001334184318780899,7.20512866973877e-06,0.652,set_3
features,20,0.0013413387238979339,7.123947143554687e-06,0.651,set_4
images,30,0.045825009495019914,0.00011564362049102784,0.696,set_0
images,30,0.04546423798799515,0.00011684834957122803,0.7255,set_1
images,30,0.045860959976911544,0.00011600875854492188,0.7195,set_2
images,30,0.0453968294262886,0.00011825215816497803,0.7015,set_3
images,30,0.04512291219830513,0.00011868560314178466,0.6785,set_4
features,30,0.0019575119018554687,1.0211348533630372e-05,0.662,set_0
features,30,0.0019395421743392943,1.012861728668213e-05,0.6845,set_1
features,30,0.0020118641555309296,9.664058685302734e-06,0.669,set_2
features,30,0.0019357313513755799,1.0727167129516602e-05,0.671,set_3
features,30,0.001971689462661743,1.0213494300842286e-05,0.6755,set_4
